n00001740	entity
n02422699	impala (antelope), a type of mammal
n02423022	gazelle, a type of mammal
n02411705	sheep, a type of mammal
n02412080	ram, a type of adult male sheep
n02408429	Asiatic water buffalo or water ox (Old World buffalo), a type of mammal
n02415577	bighorn Rocky Mountain sheep, a type of mammal
n02417914	Alpine ibex, a type of mammal
n02403003	ox, a type of cattle
n02131653	bear, a type of mammal
n02132136	brown bear, a type of mammal
n02133161	American black bear, a type of mammal
n02134084	polar bear, a type of mammal
n02134418	sloth bear, a type of mammal
n02120997	feline cat, a type of mammal
n02128385	leopard, a type of feline cat
n02128757	snow leopard, a type of feline cat
n02128925	jaguar panther, a type of feline cat
n02129165	lion, a type of feline cat
n02129604	tiger, a type of feline cat
n02130308	cheetah, a type of feline cat
n02441942	weasel, a type of musteline mammal
n02442845	mink, a type of musteline mammal
n02443114	European polecat, a type of musteline mammal
n02443484	black-footed ferret, a type of musteline mammal
n02444819	otter, a type of musteline mammal
n02445715	skunk, a type of musteline mammal
n02447366	badger, a type of musteline mammal
n02137549	mongoose, a type of viverrine mammal
n02138441	meerkat, a type of viverrine mammal
n02509815	lesser red panda, a type of procyonid mammal
n02510455	giant panda bear, a type of procyonid mammal
n02121808	domestic cat, a type of feline cat
n02123045	tabby cat, a type of domestic cat
n02123159	tiger cat, a type of domestic cat
n02123394	Persian cat, a type of domestic cat
n02123597	Siamese cat, a type of domestic cat
n02124075	Egyptian Mau cat, a type of domestic cat
n02124623	wildcat, a type of feline cat
n02125311	cougar or puma, a type of feline cat
n02127052	lynx, a type of feline cat
n02083346	canine, a type of mammal 
n02117135	hyena or hyaena, a type of canine mammal 
n02114100	wolf, a type of canine mammal
n02114367	timber grey wolf, a type of canine mammal
n02114548	Arctic white wolf, a type of canine mammal
n02114712	red maned wolf, a type of canine mammal
n02114855	coyote prairie wolf, a type of canine mammal
n02118333	fox, a type of canine mammal
n02119022	red fox, a type of canine mammal
n02119789	kit fox, a type of canine mammal
n02120079	Arctic white fox, a type of canine mammal
n02120505	grey fox, gray fox, Urocyon cinereoargenteus, a type of canine mammal
n02084071	domestic dog, a type of canine mammal
n02110341	dalmatian or coach dog, a type of canine mammal
n02110806	Basenji hunting dog, a type of canine mammal
n02110958	Pug dog, a type of canine mammal
n02111129	Leonberger dog, a type of canine mammal
n02111277	Newfoundland dog, a type of canine mammal
n02111500	Great Pyrenees dog, a type of canine mammal
n02113978	Mexican hairless dog (xoloitzcuintli), a type of canine mammal
n02113335	Poodle dog, a type of canine mammal
n02113624	Toy poodle, a type of dog
n02113712	Miniature poodle, a type of dog
n02113799	Standard poodle, a type of dog
n02112826	Welsh corgi, a type of dog
n02113023	Pembroke Welsh corgi, a type of dog
n02113186	Cardigan Welsh corgi, a type of dog
n02112706	Brabancon griffon dog, a type of Belgian Brussels griffon dog
n02111626	Spitz dog, a type of canine mammal
n02111889	Samoyed dog, a type of canine mammal
n02112018	Pomeranian, a type of canine mammal
n02112137	Chow Chow dog, a type of canine mammal
n02112350	Keeshond Spitz dog, a type of canine mammal
n02108089	Boxer dog, a type of canine mammal
n02108422	Bull Mastiff dog, a type of canine mammal
n02109047	Great Dane dog, a type of canine mammal
n02109525	Saint Bernard dog (St Bernard), a type of canine mammal
n02109961	Eskimo husky dog, a type of canine mammal
n02108672	English bulldog, a type of canine mammal
n02108915	French bulldog, a type of canine mammal
n02108254	Mastiff, a type of canine mammal
n02108551	Tibetan Mastiff, a type of canine mammal
n02110063	Alaskan Malamute dog, a type of canine mammal
n02110185	Siberian husky dog, a type of canine mammal
n02105251	Briard Berger de Brie French dog, a type of canine mammal
n02105412	Australian Kelpie, a type of canine mammal
n02105505	Hunagrian Komondor sheepdog, a type of canine mammal
n02105641	Old English sheepdog or bobtail, a type of canine mammal
n02105855	Shetland sheepdog, a type of canine mammal
n02106030	collie, a type of canine mammal
n02106166	Border collie dog, a type of canine mammal
n02106382	Bouvier des Flandres dog, a type of canine mammal
n02106550	Rottweiler, a type of canine mammal
n02106662	German shepherd dog or alsatian, a type of canine mammal
n02104882	Belgian sheepdog or Belgian shepherd, a type of canine mammal
n02105056	Groenendael dog, a type of canine mammal
n02105162	Belgian Malinois dog, a type of canine mammal
n02085620	Chihuahua, a type of canine mammal
n02085782	Japanese Chin spaniel, a type of canine mammal
n02085936	Maltese Terrier dog, a type of canine mammal
n02086079	Pekingese dog, a type of canine mammal
n02086240	Shih-Tzu, a type of canine mammal
n02087046	toy Terrier, a type of canine mammal
n02086346	toy spaniel, a type of canine mammal
n02086910	Papillon Continental Toy Spaniel, a type of canine mammal
n02086646	Blenheim cavelier King Charles spaniel, a type of canine mammal
n02107574	Greater Swiss Mountain dog, a type of canine mammal
n02107683	Bernese mountain dog, a type of canine mammal
n02107908	Appenzeller Sennenhund, a type of canine mammal
n02108000	EntleBucher Sennenhund, a type of canine mammal
n02087394	Rhodesian ridgeback, a type of canine mammal
n02093647	Bedlington Terrier, a type of canine mammal
n02093754	Border Terrier, a type of canine mammal
n02093859	Kerry blue Terrier, a type of canine mammal
n02093991	Irish Terrier, a type of canine mammal
n02094114	Norfolk Terrier, a type of canine mammal
n02094258	Norwich Terrier, a type of canine mammal
n02094433	Yorkshire Terrier, a type of canine mammal
n02096051	Airedale Terrier, a type of canine mammal
n02096177	cairn Terrier, a type of canine mammal
n02096294	Australian Terrier, a type of canine mammal
n02096437	Dandie Dinmont Terrier, a type of canine mammal
n02096585	Boston bull Terrier, a type of canine mammal
n02097298	Scottish Terrier, a type of canine mammal
n02097474	Tibetan Terrier, a type of canine mammal
n02097658	Sydney silky Terrier, a type of canine mammal
n02098105	soft-coated wheaten Terrier, a type of canine mammal
n02098286	West Highland white Terrier, a type of canine mammal
n02098413	Lhasa Apso, a type of canine mammal
n02095412	wire-haired Terrier, a type of canine mammal
n02095570	Lakeland Terrier, a type of canine mammal
n02095727	Welsh Terrier, a type of canine mammal
n02095889	Sealyham Terrier, a type of canine mammal
n02095314	wire-haired fox Terrier, a type of canine mammal
n02093056	bull Terrier, a type of canine mammal
n02093256	Staffordshire bull Terrier, a type of canine mammal
n02093428	American Staffordshire pit bull Terrier, a type of canine mammal
n02096756	schnauzer, a type of canine mammal
n02097047	miniature schnauzer, a type of canine mammal
n02097130	giant schnauzer, a type of canine mammal
n02097209	standard schnauzer, a type of canine mammal
n02099267	flat-coated retriever, a type of canine mammal
n02099429	curly-coated retriever, a type of canine mammal
n02099601	golden retriever, a type of canine mammal
n02099712	Labrador retriever, a type of canine mammal
n02099849	Chesapeake Bay retriever, a type of canine mammal
n02100236	German short-haired pointer, a type of canine mammal
n02100583	Hungarian vizsla pointer, a type of canine mammal
n02101388	Brittany spaniel, a type of canine mammal
n02101556	Clumber spaniel, a type of canine mammal
n02102318	English cocker spaniel, a type of canine mammal
n02102480	Sussex spaniel, a type of canine mammal
n02101861	springer spaniel, a type of canine mammal
n02102040	English springer spaniel, a type of canine mammal
n02102177	Welsh springer spaniel, a type of canine mammal
n02102973	Irish water spaniel, a type of canine mammal
n02100735	English setter, a type of canine mammal
n02100877	Irish red setter, a type of canine mammal
n02101006	Gordon setter, a type of canine mammal
n02104029	Hungarian kuvasz dog, a type of canine mammal
n02104365	Schipperke dog, a type of canine mammal
n02107142	Doberman, a type of canine mammal
n02107312	Miniature pinscher dog, a type of canine mammal
n02110627	Affenpinscher monkey dog, a type of canine mammal
n02088094	Afghan hound, a type of canine mammal
n02088238	Basset hound, a type of canine mammal
n02088364	beagle, a type of canine mammal
n02088466	bloodhound, a type of canine mammal
n02088632	bluetick Coonhound, a type of canine mammal
n02090379	redbone Coonhound, a type of canine mammal
n02091244	Ibizan hound, Ibizan Podenco, a type of canine mammal
n02091467	Norwegian elkhound, a type of canine mammal
n02091635	otterhound, a type of canine mammal
n02091831	Saluki or gazelle hound, a type of canine mammal
n02092002	Scottish deerhound, a type of canine mammal
n02092339	Weimaraner hound, a type of canine mammal
n02091032	Italian greyhound, a type of canine mammal
n02091134	whippet, a type of canine mammal
n02090622	borzoi Russian hunting Wolfhound, a type of canine mammal
n02090721	Irish wolfhound, a type of canine mammal
n02089867	Treeing Walker Coonhound or Walker foxhound, a type of canine mammal
n02089973	English foxhound, a type of canine mammal
n02089078	black-and-tan Coonhound, a type of canine mammal
n02115335	wild dog, a type of canine mammal
n02115641	dingo dog or warrigal, a type of canine mammal
n02115913	dhole dog, a type of canine mammal
n02116738	African hunting dog, a type of canine mammal
n01874434	marsupial or pouched mammal, a type of mammal
n01883070	wombat, a type of marsupial mammal
n01881171	phalanger or opossum or possum, a type of marsupial mammal
n01882714	koala bear, a type of marsupial mammal
n01877812	wallaby brush kangaroo, a type of marsupial mammal
n01503061	bird, a type of animal
n01604330	bird of prey, a type of bird
n01616318	vulture, a type of bird
n01613294	eagle, a type of bird
n01614925	American bald eagle, a type of bird
n01622779	great grey owl, a type of bird
n01608432	kite bird, a type of bird
n01843065	jacamar, a type of bird
n01843383	toucan, a type of bird
n01518878	ostrich, a type of bird
n01828970	bee eater, a type of bird
n01829413	hornbill, a type of bird
n01833805	hummingbird, a type of bird
n01823013	cuckoo, a type of bird
n01824575	coucal, a type of bird
n01844917	aquatic bird, a type of bird
n02000954	wading bird, a type of bird
n01860187	black swan, a type of bird
n02021795	sea bird, a type of bird
n02017213	common European gallinule bird, a type of bird
n02051845	pelican, a type of bird
n02058221	albatross, a type of bird
n01855672	goose, a type of bird
n01845132	water bird, a type of bird
n01846331	duck, a type of bird
n01847000	drake duck, a type of bird
n01855032	red-breasted merganser, a type of bird
n02006656	spoonbill bird, a type of bird
n02007558	flamingo, a type of bird
n02012849	crane bird, a type of bird
n02013706	limpkin bird, a type of bird
n02018795	bustard bird, a type of bird
n02008041	heron, a type of bird
n02009229	little blue heron, a type of bird
n02011460	bittern bird, a type of bird
n02009912	American great white egret, a type of bird
n02002075	stork, a type of bird
n02002556	white stork, a type of bird
n02002724	black stork, a type of bird
n02018207	American coot, a type of bird
n02037110	oystercatcher wading bird, a type of bird
n02026059	sandpiper wading bird, a type of bird
n02027492	red-backed sandpiper dunlin bird, a type of bird
n02028035	common redshank wading bird, a type of bird
n02033041	dowitcher wading bird, a type of bird
n02022684	shorebird, shore bird, a type of bird
n02025239	ruddy turnstone bird, a type of bird
n02056570	king penguin, a type of bird
n01601694	American dipper bird, a type of bird
n01592084	chickadee, a type of bird
n01558993	American robin, a type of bird
n01560105	nightingale, a type of bird
n01560419	bulbul, a type of bird
n01530575	brambling, a type of bird
n01529672	finch, a type of bird
n01531178	goldfinch, a type of bird
n01532829	house finch, a type of bird
n01534433	junco or snowbird, a type of bird
n01537544	indigo bunting bird, a type of bird
n01578575	corvine bird, a type of bird
n01580077	jay, a type of bird
n01582220	magpie, a type of bird
n01806567	quail, a type of gallinaceous bird
n01807496	partridge, a type of gallinaceous bird
n01806143	peafowl, a type of gallinaceous bird
n01795088	grouse bird, a type of gallinaceous bird
n01795545	black grouse bird, a type of gallinaceous bird
n01796340	ptarmigan bird, a type of gallinaceous bird
n01797886	ruffed grouse or partridge, a type of gallinaceous bird
n01798484	prairie grouse chicken, a type of gallinaceous bird
n01514668	rooster, a type of gallinaceous bird
n01514859	hen, a type of gallinaceous bird
n01816887	parrot bird, a type of bird
n01817953	African grey parrot, a type of bird
n01818515	macaw, a type of bird
n01819313	sulphur-crested cockatoo, a type of bird
n01820546	lorikeet, a type of bird
n01661091	reptile, a type of animal
n01698640	American alligator, a type of reptile
n01697457	African Nile crocodile, a type of reptile
n01674464	lizard, a type of reptile
n01687665	agamid lizard, a type of reptile
n01687978	agama lizard, a type of reptile
n01688243	frilled-necked lizard, a type of reptile
n01689811	alligator lizard, a type of reptile
n01676755	iguanid lizard, a type of reptile
n01677366	green iguana, a type of reptile
n01682714	Carolina anole chameleon, a type of reptile
n01694178	African chameleon, a type of reptile
n01693334	green alligator lizard, a type of reptile
n01692333	Gila monster, a type of reptile
n01675722	banded gecko, a type of reptile
n01685439	teiid lizard, a type of reptile
n01685808	desert grassland whiptail lizard, a type of reptile
n01695060	Komodo dragon lizard, a type of monitor lizard
n01704323	triceratops, a type of archosaurian dinosaur
n01726692	snake, a type of reptile
n01751748	sea snake, a type of reptile
n01727646	colubrid snake, a type of reptile
n01728572	worm snake, a type of reptile
n01728920	ring-necked snake, a type of reptile
n01729322	eastern hog-nosed snake or puff adder, a type of reptile
n01729977	smooth green grass snake, a type of reptile
n01734418	king snake, a type of reptile
n01735189	garter snake, a type of reptile
n01737021	water snake, a type of reptile
n01739381	vine snake, a type of reptile
n01740131	night snake, a type of reptile
n01752165	viper, a type of reptile
n01753959	pit viper, a type of reptile
n01753488	Saharan horned viper, a type of reptile
n01748264	Indian cobra, a type of reptile
n01749939	green mamba, a type of reptile
n01755581	eastern diamondback rattlesnake, a type of reptile
n01756291	sidewinder horned rattlesnake, a type of reptile
n01742172	boa constrictor, a type of snake
n01744401	African rock python, a type of snake
n01662784	turtle, a type of reptile 
n01667114	mud turtle, a type of turtle 
n01667778	terrapin, a type of turtle
n01669191	box turtle, a type of turtle
n01663401	sea turtle or marine turtle, a type of turtle
n01664065	loggerhead sea turtle, a type of turtle
n01665541	leatherback sea turtle, a type of turtle
n01627424	amphibian, a type of animal
n01639765	frog or toad, a type of amphibian
n01644373	tree frog, a type of amphibian
n01644900	tailed frog or bell toad, a type of amphibian
n01641577	American bullfrog, a type of amphibian
n01629276	salamander, a type of amphibian
n01630670	smooth newt, a type of amphibian
n01631663	newt, a type of amphibian
n01629819	fire salamander, a type of amphibian
n01632458	spotted salamander, a type of amphibian
n01632777	axolotl or mud puppy, a type of amphibian
n02512053	fish, a type of animal 
n01495701	ray fish, a type of fish
n01496331	electric ray, a type of fish
n01498041	stingray, a type of fish
n01482330	shark, a type of fish
n01494475	hammerhead shark, a type of fish
n01484850	great white shark, a type of fish
n01491361	tiger shark, a type of fish
n02526121	eel, a type of fish
n01440764	tench, a type of fish
n01443537	goldfish, a type of fish
n02534734	salmon, a type of fish
n02536864	coho silver salmon, a type of fish
n02640242	sturgeon, a type of fish
n02641379	garfish,, a type of fish
n02655020	pufferfish or blowfish, a type of fish
n02607072	anemone (clown) fish, a type of fish
n02606052	rock beauty fish, a type of fish
n02643566	lionfish, a type of fish
n02514041	barracouta (snoek) fish, a type of fish
n00017222	plant life
n11669921	flower, a type of plant
n11939491	daisy, a type of flower 
n12057211	yellow lady's slipper, a type of flower
n12992868	fungus, a type of organism
n12985857	coral fungus, a type of fungus
n13040303	stinkhorn fungus, a type of fungus
n13044778	earthstar fungus, a type of fungus
dummy20	mushroom, a type of fungus
n12998815	agaric mushroom, a type of fungus
n13054560	bolete mushroom, a type of fungus
n13052670	hen-of-the-woods mushroom, a type of fungus
n13037406	gyromitra mushroom, a type of fungus
n00007846	person or human being
n10565667	scuba diver, a type of person
n09835506	ballplayer, a type of person
n10148035	groom or bridegroom, a type of person
n15075141	toilet paper
n09229709	bubble
n07860988	dough
n07802026	hay, a type of animal fodder
n07565083	restaurant menu
n07248320	book jacket, a type of protective book cover
n06785654	crossword puzzle, a type of game
n06596364	comic book
dummy104	computer, a type of electronic device
n06359193	web site
dummy105	fabric
n04599235	wool
n04592741	airplane wing
n04579432	whistle
dummy108	basin
n04553703	sink
n04548362	wallet, a type of money storage
n04532106	vestment
dummy110	machine, a type of equipment
n04525305	vending machine, a type of machine
n04522168	vase, a type of liquid storage jar
dummy112	keyboard, a type of electronic computer equipment
n04505470	typewriter keyboard, a type of electronic computer equipment
n04493381	hot tub
dummy113	farming machine, a type of machine
n04428191	threshing machine, a type pf farming machine
n04399382	teddy bear, a type of plaything
n04371774	swing, a type of playthinh
n04372370	electrical switch
dummy131	cleaning equipment
n04367480	mop, a type of cleaning equipment
n04355933	sunglasses, a type of face accessory
n04336792	stretcher
dummy230	source of illumination or lighting
n04286575	spotlight, a source of lighting
n04277352	spindle, a type of stick
dummy677	stick
n04275548	spider web
n04264628	keyboard space bar
n04258138	solar thermal collector
n04254120	soap dispenser
n04243546	slot machine
n04238763	slide rule, a type of measuring instrument
n04235860	sleeping bag
n04204238	shopping basket, a type of basket
dummy80	  basket, a type of container
n04192698	shield, a type of armor 
n04125021	safe, a type of storage box 
dummy700	box
n04049303	rain water barrel, a type of water collector
n04040759	radiator, a type of heating device
n04019541	hockey puck, a type of disk
n03992509	potter's wheel, a type of wheel
n03991062	plant pot 
dummy190	wheel
dummy187	mechanical device
n03954731	block plane
n03950228	drink pitcher
n03944341	pinwheel, a type of wheel
n03937543	pill bottle
n03935335	piggy bank, a type of savings bank
n03933933	pier 
dummy773	support structure
n03929660	plectrum
n03908618	case 
n03888257	parachute, a type of rescue equipment
n03874293	paddle wheel
n03873416	paddle, a type of rowing oar
n03871628	product packet or packaging
n03868863	oxygen mask, a type of breathing device
n03843555	oil filter 
n03825788	baby pacifier, a type of cap
n03133748	covering
n02954938	cap
n03803284	muzzle 
n04081844	restraint or belt
n03794056	mouse trap
n03792972	tent
n04191595	shelter
n03786901	mortar and pestle, a type of kitchen implement
n03764736	milk can
n03733131	may pole, a type of support structure
n03717622	manhole cover
n03710193	mailbox
n03658185	letter opener, a type of cutting implement
n03627232	knot, a type of fastener
n03598930	jigsaw puzzle, a type of game 
n03590841	carved pumpkin or jack-o-lantern, a type of lantern
n03530642	honeycomb
n03532672	hook
n03498962	hatchet, a type of axe 
n03496892	combine harvester
n03492542	hard disk drive, a type of magnetic disk
n03482405	hamper basket
n03467068	guillotine
n03459775	radiator grille, a type of grate 
n03425413	gas pump, a type of pump
n03355925	flagpole, a type of staff
n03291819	envelope
n03250847	drumstick
n03208938	hydraulic brake, a type of disk brake system
n03127925	crate 
n03126707	construction crane
n03065424	spiral or coil
n02978881	cassette
n02971356	cardboard box / carton
n02974003	car wheel
n02977058	automated teller machine or ATM machine
n02965783	car mirror, a type of vehicle mirror
n02966193	carousel
n02948072	candle
n02909870	bucket
n02910353	buckle
n02877765	bottle cap
n02840245	ring binder 
n02815834	beaker 
n02808440	bathtub 
n02795169	barrel
n02747177	trash can
n02699494	altar
n01871265	tusker animal
n02906734	broom 
n02999410	chain, a type of connector
n03729826	matchstick
n03920288	petri dish
n03976657	pole, a type of rod
n04162706	seat belt, a type of safety belt
n04332243	strainer
n04423845	sewing thimble
n04525038	velvet fabric
n09409512	ridge
