index,node,prompt,class_name,is_leaf,classidx
476,n02403003,a photo of a ox.,ox,1,345
477,n04230808,a photo of a skirt.,skirt,0,99999
478,n02236044,a photo of a praying mantis.,praying mantis,1,315
479,n01950731,a photo of a sea slug.,sea slug,1,115
480,n03394916,a photo of a French horn.,French horn,1,566
481,n03595614,a photo of a T-shirt.,T-shirt,1,610
482,n01534433,a photo of a junco or snowbird.,junco or snowbird,1,13
483,n04086273,a photo of a revolver.,revolver,1,763
484,n04273569,a photo of a speedboat.,speedboat,1,814
485,n04540053,a photo of a volleyball.,volleyball,1,890
486,n02963159,a photo of a cardigan.,cardigan,1,474
487,n03891251,a photo of a park bench.,park bench,1,703
488,n01945685,a photo of a slug.,slug,1,114
489,n01440764,a photo of a tench fish.,tench fish,1,0
490,n12998815,a photo of a agaric mushroom.,agaric mushroom,1,992
491,n01955084,a photo of a chiton or coat-of-mail shell.,chiton or coat-of-mail shell,1,116
492,n02799071,a photo of a baseball.,baseball,1,429
493,n01514668,a photo of a rooster bird.,rooster bird,1,7
494,n01529672,a photo of a finch bird.,finch bird,0,99999
495,n03187595,a photo of a dial telephone.,dial telephone,1,528
496,n03594734,a photo of a denim jeans pant.,denim jeans pant,1,608
497,n02834397,a photo of a baby's bib.,baby's bib,1,443
498,n02859443,a photo of a boathouse.,boathouse,1,449
499,n03223299,a photo of a doormat  mat.,doormat  mat,1,539
500,n01518878,a photo of a ostrich.,ostrich,1,9
501,n02445715,a photo of a skunk.,skunk,1,361
502,n04447861,a photo of a toilet seat.,toilet seat,1,861
503,n01674464,a photo of a lizard.,lizard,0,99999
504,n03028079,a photo of a church a place of worship.,church a place of worship,1,497
505,n02114100,a photo of a wolf.,wolf,0,99999
506,n04371563,a photo of a swimsuit or bathing suit.,swimsuit or bathing suit,0,99999
507,n02970849,a photo of a cart.,cart,0,99999
508,n04525305,a photo of a vending machine.,vending machine,1,886
509,n04398044,a photo of a teapot.,teapot,1,849
510,n03662601,a photo of a lifeboat.,lifeboat,1,625
511,n01990800,a photo of a isopod.,isopod,1,126
512,n03788195,a photo of a mosque a place of worship.,mosque a place of worship,1,668
513,n03467517,a photo of a guitar.,guitar,0,99999
514,n03134739,a photo of a croquet ball.,croquet ball,1,522
515,n04379243,a photo of a table.,table,0,99999
516,n02691156,a photo of a airplane or aeroplane.,airplane or aeroplane,0,99999
517,n04346328,a photo of a stupa monument.,stupa monument,1,832
518,n03124043,a photo of a cowboy boot.,cowboy boot,1,514
519,n01530575,a photo of a brambling bird.,brambling bird,1,10
520,n02534734,a photo of a salmon fish.,salmon fish,0,99999
521,n13054560,a photo of a bolete mushroom.,bolete mushroom,1,997
522,n02062017,a photo of a aquatic mammal.,aquatic mammal,0,99999
523,n02640242,a photo of a sturgeon fish.,sturgeon fish,1,394
524,n02510455,a photo of a giant panda bear.,giant panda bear,1,388
525,n02138441,a photo of a meerkat.,meerkat,1,299
526,n04350905,a photo of a men's suit.,men's suit,1,834
527,n03461385,a photo of a grocery store.,grocery store,1,582
528,n01560105,a photo of a nightingale bird.,nightingale bird,0,99999
529,n01872401,a photo of a echidna or spiny anteater.,echidna or spiny anteater,1,102
530,n01829413,a photo of a hornbill.,hornbill,1,93
531,n02782093,a photo of a hot air balloon.,hot air balloon,1,417
532,n01874434,a photo of a marsupial or pouched mammal.,marsupial or pouched mammal,0,99999
533,n02802426,a photo of a basketball.,basketball,1,430
534,n03721384,a photo of a marimba xylophone.,marimba xylophone,1,642
535,n01823013,a photo of a cuckoo.,cuckoo,0,99999
536,n02992529,a photo of a cellular telephone.,cellular telephone,1,487
537,n04409515,a photo of a tennis ball.,tennis ball,1,852
538,n03930313,a photo of a picket fence.,picket fence,1,716
539,n02526121,a photo of a eel.,eel,1,390
540,n04468005,a photo of a railroad train.,railroad train,0,99999
541,n03016953,a photo of a chiffonier or commode  of drawers.,chiffonier or commode  of drawers,1,493
542,n03447447,a photo of a gondola boat.,gondola boat,1,576
543,n01776313,a photo of a tick.,tick,1,78
544,n03724870,a photo of a mask.,mask,1,643
545,n03840681,a photo of a ocarina vessel flute.,ocarina vessel flute,1,684
546,n02226429,a photo of a grasshopper.,grasshopper,1,311
547,n01873310,a photo of a duck-billed platypus.,duck-billed platypus,1,103
548,n02391049,a photo of a zebra.,zebra,1,340
549,n04548280,a photo of a wall clock.,wall clock,1,892
550,n04069434,a photo of a reflex camera.,reflex camera,1,759
551,n04151581,a photo of a screen.,screen,0,99999
552,n03249569,a photo of a drum.,drum,1,541
553,n04326547,a photo of a stone wall.,stone wall,1,825
554,n09332890,a photo of a lakeside or lakeshore a geological formation by water.,lakeside or lakeshore a geological formation by water,1,975
555,n03188531,a photo of a diaper or nappy.,diaper or nappy,1,529
556,n01976957,a photo of a crab.,crab,0,99999
557,n04418357,a photo of a theater or front curtain.,theater or front curtain,1,854
558,n02607072,a photo of a anemone (clown) fish.,anemone (clown) fish,1,393
559,n03110669,a photo of a horn or trumpet.,horn or trumpet,1,513
560,n02687172,a photo of a aircraft carrier.,aircraft carrier,1,403
561,n02259212,a photo of a leafhopper.,leafhopper,1,317
562,n04097866,a photo of a robe.,robe,0,99999
563,n13052670,a photo of a hen-of-the-woods mushroom.,hen-of-the-woods mushroom,1,996
564,n02862048,a photo of a body armor.,body armor,0,99999
565,n01924916,a photo of a flatworm or platyhelminth.,flatworm or platyhelminth,1,110
566,n01601694,a photo of a American dipper bird.,American dipper bird,1,20
567,n02324045,a photo of a rabbit.,rabbit,0,99999
568,n02804610,a photo of a bassoon.,bassoon,1,432
569,n03047690,a photo of a clog footwear.,clog footwear,1,502
570,n03063689,a photo of a coffeepot.,coffeepot,1,505
571,n02821943,a photo of a bedroom furniture.,bedroom furniture,0,99999
572,n03637318,a photo of a lampshade  furnishing.,lampshade  furnishing,1,619
573,n02389026,a photo of a common sorrel horse.,common sorrel horse,1,339
574,n02437616,a photo of a llama.,llama,1,355
575,n09193705,a photo of a alp mountain.,alp mountain,1,970
576,n02509815,a photo of a lesser red panda.,lesser red panda,1,387
577,dummy30,a photo of a cycle.,cycle,0,99999
578,n02229544,a photo of a cricket.,cricket,1,312
579,n03814639,a photo of a neck brace.,neck brace,1,678
580,n03902125,a photo of a pay-phone.,pay-phone,1,707
581,n04536866,a photo of a violin.,violin,1,889
582,n04143897,a photo of a scarf.,scarf,0,99999
583,n03814906,a photo of a necklace.,necklace,1,679
584,n02992211,a photo of a cello.,cello,1,486
585,n04147183,a photo of a schooner ship.,schooner ship,1,780
586,n04239074,a photo of a sliding door.,sliding door,1,799
587,n01495701,a photo of a ray fish.,ray fish,0,99999
588,n03720891,a photo of a maraca hand percussion.,maraca hand percussion,1,641
589,n02514041,a photo of a barracouta (snoek) fish.,barracouta (snoek) fish,1,389
590,n03000134,a photo of a chain-link fence.,chain-link fence,1,489
591,n01531178,a photo of a goldfinch bird.,goldfinch bird,1,11
592,n02417914,a photo of a Alpine ibex.,Alpine ibex,1,350
593,n01944390,a photo of a snail.,snail,1,113
594,n03947888,a photo of a pirate ship.,pirate ship,1,724
595,n03838899,a photo of a oboe woodwind.,oboe woodwind,1,683
596,n01968897,a photo of a chambered nautilus.,chambered nautilus,1,117
597,n02437312,a photo of a Arabian camel.,Arabian camel,1,354
598,n02776631,a photo of a bakery.,bakery,1,415
599,n04459362,a photo of a towel a piece of cloth.,towel a piece of cloth,0,99999
600,n03255030,a photo of a dumbbells.,dumbbells,1,543
601,n04443257,a photo of a tobacco shop.,tobacco shop,1,860
602,n03017168,a photo of a wind chime or bell chime.,wind chime or bell chime,1,494
603,n04584207,a photo of a wig.,wig,1,903
604,n02871525,a photo of a bookshop or bookstore.,bookshop or bookstore,1,454
605,n04464852,a photo of a tracked transport.,tracked transport,0,99999
606,n01843065,a photo of a jacamar.,jacamar,1,95
607,n02441942,a photo of a weasel.,weasel,1,356
608,n04229816,a photo of a balaclava ski mask.,balaclava ski mask,1,796
609,n04200800,a photo of a shoe shop.,shoe shop,1,788
610,n02124623,a photo of a wildcat.,wildcat,0,99999
611,n02329401,a photo of a rodent.,rodent,0,99999
612,n02790996,a photo of a barbells.,barbells,1,422
613,n03691459,a photo of a loudspeaker.,loudspeaker,1,632
614,n04328186,a photo of a stopwatch.,stopwatch,1,826
615,n02727426,a photo of a apiary or bee shed.,apiary or bee shed,1,410
616,n09428293,a photo of a seashore a geological formation by water.,seashore a geological formation by water,1,978
617,n01726692,a photo of a snake.,snake,0,99999
618,n03424325,a photo of a gasmask or respirator.,gasmask or respirator,1,570
619,n01943899,a photo of a conch.,conch,1,112
620,n02410509,a photo of a bison.,bison,1,347
621,n02268853,a photo of a damselfly.,damselfly,1,320
622,n02672831,a photo of a piano accordion.,piano accordion,1,401
623,n04311174,a photo of a steel drum.,steel drum,1,822
624,n02860847,a photo of a bobsled or bobsleigh.,bobsled or bobsleigh,1,450
625,n02412080,a photo of a ram male sheep.,ram male sheep,1,348
626,n02951358,a photo of a canoe boat.,canoe boat,1,472
627,n02233338,a photo of a cockroach.,cockroach,1,314
628,n02131653,a photo of a bear.,bear,0,99999
629,n01698640,a photo of a American alligator.,American alligator,1,50
630,n03218198,a photo of a dogsled or dog sleigh.,dogsled or dog sleigh,1,537
631,n04606251,a photo of a shipwreck.,shipwreck,1,913
632,n02264363,a photo of a lacewing fly.,lacewing fly,1,318
633,n04254680,a photo of a soccer ball.,soccer ball,1,805
634,n02692877,a photo of a airship.,airship,1,405
635,n01930112,a photo of a nematode worm or roundworm.,nematode worm or roundworm,1,111
636,n01662784,a photo of a turtle.,turtle,0,99999
637,n01833805,a photo of a hummingbird.,hummingbird,1,94
638,n03095699,a photo of a container ship.,container ship,1,510
639,n02708093,a photo of a analog clock.,analog clock,1,409
640,n02415577,a photo of a bighorn Rocky Mountain sheep.,bighorn Rocky Mountain sheep,1,349
641,n04552348,a photo of a warplane or military plane.,warplane or military plane,1,895
642,n02791270,a photo of a barbershop.,barbershop,1,424
643,n02641379,a photo of a garfish.,garfish,1,395
644,n03447721,a photo of a gong or tam-tam.,gong or tam-tam,1,577
645,n01578575,a photo of a corvine bird.,corvine bird,0,99999
646,n03128519,a photo of a cream or ointment.,cream or ointment,0,99999
647,n02655020,a photo of a pufferfish or blowfish.,pufferfish or blowfish,1,397
648,n02454379,a photo of a armadillo.,armadillo,1,363
649,n03400231,a photo of a frying pan or skillet.,frying pan or skillet,1,567
650,n03485794,a photo of a handkerchief or hanky.,handkerchief or hanky,1,591
651,n03057021,a photo of a coat.,coat,0,99999
652,n03445777,a photo of a golf ball.,golf ball,1,574
653,n04380533,a photo of a table lamp.,table lamp,1,846
654,n04487394,a photo of a trombone.,trombone,1,875
655,n02447366,a photo of a badger.,badger,1,362
656,n03196217,a photo of a digital clock.,digital clock,1,530
657,n02933112,a photo of a storage cabinet.,storage cabinet,0,99999
658,n01982650,a photo of a lobster.,lobster,0,99999
659,n04192698,a photo of a shield.,shield,1,787
660,n03344393,a photo of a fireboat.,fireboat,1,554
661,n04118538,a photo of a rugby ball.,rugby ball,1,768
662,n03513137,a photo of a helmet.,helmet,0,99999
663,n02083346,a photo of a canine.,canine,0,99999
664,n03815615,a photo of a necktie.,necktie,0,99999
665,n02669723,a photo of a academic gown or robe.,academic gown or robe,1,400
666,n03497657,a photo of a hat.,hat,0,99999
667,n03976467,a photo of a Polaroid camera.,Polaroid camera,1,732
668,n01985128,a photo of a crayfish or crawfish.,crayfish or crawfish,1,124
669,n03791235,a photo of a automotive vehicle.,automotive vehicle,0,99999
670,n04604644,a photo of a snake-rail fence or split-rail fence.,snake-rail fence or split-rail fence,1,912
671,n12057211,a photo of a yellow lady's slipper flower.,yellow lady's slipper flower,1,986
672,n02977058,a photo of a automated teller machine or ATM machine.,automated teller machine or ATM machine,1,480
673,n03146219,a photo of a cuirass breastplate.,cuirass breastplate,1,524
674,n04325704,a photo of a stole scarf.,stole scarf,1,824
675,n01669191,a photo of a box turtle.,box turtle,1,37
676,n01845132,a photo of a water bird.,water bird,0,99999
677,n02276258,a photo of a red admiral butterfly.,red admiral butterfly,1,321
678,n02125311,a photo of a cougar or puma cat.,cougar or puma  cat,1,286
679,n01491361,a photo of a tiger shark fish.,tiger shark fish,1,3
680,n02117135,a photo of a hyena or hyaena.,hyena or hyaena,1,276
681,n02114712,a photo of a red maned wolf.,red maned wolf,1,271
682,n03538406,a photo of a horse cart.,horse cart,1,603
683,n01614925,a photo of a American bald eagle.,American bald eagle,1,22
684,n01744401,a photo of a African rock python snake.,African rock python snake,1,62
685,n03496892,a photo of a combine harvester.,combine harvester,1,595
686,n01773797,a photo of a European garden spider.,European garden spider,1,74
687,n03714235,a photo of a makeup.,makeup,0,99999
688,n01983481,a photo of a American lobster.,American lobster,1,122
689,n01494475,a photo of a hammerhead shark fish.,hammerhead shark fish,1,4
690,n04532106,a photo of a vestment.,vestment,1,887
691,n03599486,a photo of a jinrikisha or rickshaw.,jinrikisha or rickshaw,1,612
692,n04429376,a photo of a throne.,throne,1,857
693,n03866082,a photo of a overskirt.,overskirt,1,689
694,n01694178,a photo of a African chameleon.,African chameleon,1,47
695,n01560419,a photo of a bulbul bird.,bulbul bird,1,16
696,n02114548,a photo of a Arctic white wolf.,Arctic white wolf,1,270
697,n01774750,a photo of a tarantula spider.,tarantula spider,1,76
698,n01675722,a photo of a banded gecko lizard.,banded gecko lizard,1,38
699,n03124170,a photo of a cowboy hat.,cowboy hat,1,515
700,n02959942,a photo of a railroad car.,railroad car,0,99999
701,n03742115,a photo of a medicine chest.,medicine chest,1,648
702,n02277742,a photo of a ringlet butterfly.,ringlet butterfly,1,322
703,n02883205,a photo of a bow tie.,bow tie,1,457
704,n02281406,a photo of a sulphur butterfly.,sulphur butterfly,1,325
705,n03710721,a photo of a tank suit or one-piece maillot.,tank suit or one-piece maillot,1,639
706,n04589890,a photo of a window screen.,window screen,1,904
707,n03478589,a photo of a half track vehicle.,half track vehicle,1,586
708,n03680355,a photo of a Loafer shoe.,Loafer shoe,1,630
709,n02766320,a photo of a baby bed.,baby bed,0,99999
710,n04490091,a photo of a truck or motortruck.,truck or motortruck,0,99999
711,n01774384,a photo of a southern black widow spider.,southern black widow spider,1,75
712,n03379051,a photo of a football helmet.,football helmet,1,560
713,n01667778,a photo of a terrapin.,terrapin,1,36
714,n01727646,a photo of a colubrid snake.,colubrid snake,0,99999
715,n02328150,a photo of a Angora rabbit.,Angora rabbit,1,332
716,n03127747,a photo of a crash helmet.,crash helmet,1,518
717,n02704792,a photo of a amphibious vehicle.,amphibious vehicle,1,408
718,n01773549,a photo of a barn spider.,barn spider,1,73
719,n02281787,a photo of a gossamer-winged butterfly.,gossamer-winged butterfly,1,326
720,n03337140,a photo of a file cabinet.,file cabinet,1,553
721,n03272010,a photo of a electric guitar.,electric guitar,1,546
722,n02364673,a photo of a guinea pig.,guinea pig,1,338
723,n04509417,a photo of a unicycle or monocycle.,unicycle or monocycle,1,880
724,n02118333,a photo of a fox.,fox,0,99999
725,n04357314,a photo of a sunscreen or sunblock.,sunscreen or sunblock,1,838
726,n02132136,a photo of a brown bear.,brown bear,1,294
727,n03790512,a photo of a motor cycle or motor bike.,motor cycle or motor bike,0,99999
728,n02808304,a photo of a bath towel.,bath towel,1,434
729,n02342885,a photo of a hamster.,hamster,1,333
730,n01616318,a photo of a vulture.,vulture,1,23
731,n02422106,a photo of a hartebeest.,hartebeest,1,351
732,n02114855,a photo of a coyote prairie wolf.,coyote prairie wolf,1,272
733,n01498041,a photo of a stingray.,stingray,1,6
734,n01632458,a photo of a spotted salamander.,spotted salamander,1,28
735,n02496913,a photo of a lemur.,lemur,0,99999
736,n01775062,a photo of a wolf spider.,wolf spider,1,77
737,n01749939,a photo of a green mamba snake.,green mamba snake,1,64
738,n01751748,a photo of a sea snake.,sea snake,1,65
739,n01641577,a photo of a American bullfrog.,American bullfrog,1,30
740,n02325366,a photo of a cottontail wood rabbit.,cottontail wood rabbit,1,330
741,n03476991,a photo of a hair spray.,hair spray,1,585
742,n01496331,a photo of a electric ray.,electric ray,1,5
743,n03000247,a photo of a chain mail or armor.,chain mail or armor,1,490
744,n02037110,a photo of a oystercatcher wading bird.,oystercatcher wading bird,1,143
745,n03376595,a photo of a folding chair.,folding chair,1,559
746,n02165456,a photo of a ladybug or ladybird beetle.,ladybug or ladybird beetle,1,301
747,n03929855,a photo of a pickelhaube or spiked helmet.,pickelhaube or spiked helmet,1,715
748,n04482393,a photo of a tricycle.,tricycle,1,870
749,n02346627,a photo of a porcupine or hedgehog.,porcupine or hedgehog,1,334
750,n02837789,a photo of a bikini or two-piece.,bikini or two-piece,1,445
751,n02017213,a photo of a common European gallinule bird.,common European gallinule bird,1,136
752,n01980166,a photo of a fiddler crab.,fiddler crab,1,120
753,n02924116,a photo of a bus.,bus,0,99999
754,n04483307,a photo of a trimaran boat.,trimaran boat,1,871
755,n03484083,a photo of a handcart or pushcart.,handcart or pushcart,0,99999
756,n02397096,a photo of a warthog.,warthog,1,343
757,n03347037,a photo of a fire screen.,fire screen,1,556
758,n02134418,a photo of a sloth bear.,sloth bear,1,297
759,n04592741,a photo of a airplane wing.,airplane wing,1,908
760,n02817516,a photo of a military hat (bearskin or shako).,military hat (bearskin or shako),1,439
761,n02423022,a photo of a gazelle.,gazelle,1,353
762,n01695060,a photo of a Komodo dragon lizard.,Komodo dragon lizard,1,48
763,n02133161,a photo of a American black bear.,American black bear,1,295
764,n02690373,a photo of a airliner.,airliner,1,404
765,n04259630,a photo of a sombrero hat.,sombrero hat,1,808
766,n02077923,a photo of a sea lion.,sea lion,1,150
767,n03982430,a photo of a pool table or billiard table (snooker).,pool table or billiard table (snooker),1,736
768,n02171869,a photo of a scarabaeid beetle.,scarabaeid beetle,0,99999
769,n02676566,a photo of a acoustic guitar.,acoustic guitar,1,402
770,n02470325,a photo of a ape.,ape,0,99999
771,n04120489,a photo of a running shoe.,running shoe,1,770
772,n01752165,a photo of a viper snake.,viper snake,0,99999
773,n01582220,a photo of a magpie bird.,magpie bird,1,18
774,n02134084,a photo of a polar bear.,polar bear,1,296
775,n04252077,a photo of a snowmobile.,snowmobile,1,802
776,n01877812,a photo of a wallaby brush kangaroo.,wallaby brush kangaroo,1,104
777,n02484322,a photo of a monkey.,monkey,0,99999
778,n01667114,a photo of a mud turtle.,mud turtle,1,35
779,n01631663,a photo of a newt.,newt,1,27
780,n01742172,a photo of a boa constrictor snake.,boa constrictor snake,1,61
781,n02177972,a photo of a weevil beetle.,weevil beetle,1,307
782,n02869837,a photo of a poke bonnet hat.,poke bonnet hat,1,452
783,n01676755,a photo of a iguanid lizard.,iguanid lizard,0,99999
784,n02000954,a photo of a wading bird.,wading bird,0,99999
785,n02395406,a photo of a pig (hog).,pig (hog),1,341
786,n04515003,a photo of a upright piano.,upright piano,1,881
787,n03690938,a photo of a lotion.,lotion,1,631
788,n02834778,a photo of a bicycle or bike.,bicycle or bike,0,99999
789,n04335435,a photo of a tramcar or trolley car.,tramcar or trolley car,1,829
790,n03832673,a photo of a notebook computer.,notebook computer,1,681
791,n01819313,a photo of a sulphur-crested cockatoo bird.,sulphur-crested cockatoo bird,1,89
792,n01632777,a photo of a axolotl or mud puppy.,axolotl or mud puppy,1,29
793,n03180011,a photo of a desktop computer.,desktop computer,1,527
794,n02127052,a photo of a lynx  cat.,lynx  cat,1,287
795,n01978455,a photo of a rock crab.,rock crab,1,119
796,n03980874,a photo of a poncho.,poncho,1,735
797,n04133789,a photo of a sandal footwear.,sandal footwear,1,774
798,n04479046,a photo of a trench coat.,trench coat,1,869
799,n02396427,a photo of a wild boar.,wild boar,1,342
800,n02169497,a photo of a leaf beetle.,leaf beetle,1,304
801,n03452741,a photo of a grand piano.,grand piano,1,579
802,n01881171,a photo of a phalanger or opossum or possum.,phalanger or opossum or possum,0,99999
803,n01773157,a photo of a black and gold garden spider.,black and gold garden spider,1,72
804,n04389033,a photo of a army tank.,army tank,1,847
805,n01663401,a photo of a sea turtle or marine turtle.,sea turtle or marine turtle,0,99999
806,n03201208,a photo of a dining table.,dining table,1,532
807,n03916031,a photo of a perfume.,perfume,1,711
808,n01537544,a photo of a indigo bunting bird.,indigo bunting bird,1,14
809,n02084071,a photo of a domestic dog.,domestic dog,0,99999
810,n01824575,a photo of a coucal.,coucal,1,91
811,n03179701,a photo of a desk.,desk,1,526
812,n03630383,a photo of a lab or laboratory coat.,lab or laboratory coat,1,617
813,n03684823,a photo of a railway locomotive engine.,railway locomotive engine,0,99999
814,n02701002,a photo of a ambulance.,ambulance,1,407
815,n02021795,a photo of a sea bird.,sea bird,0,99999
816,n01532829,a photo of a house finch bird.,house finch bird,1,12
817,n01644900,a photo of a tailed frog or bell toad.,tailed frog or bell toad,1,32
818,n01978287,a photo of a Dungeness crab.,Dungeness crab,1,118
819,n03325584,a photo of a feather boa accessory.,feather boa accessory,1,552
820,n02114367,a photo of a timber grey wolf.,timber grey wolf,1,269
821,n03388549,a photo of a four-poster bed.,four-poster bed,1,564
822,n04428191,a photo of a threshing machine.,threshing machine,1,856
823,n03868242,a photo of a oxcart or bullock cart.,oxcart or bullock cart,1,690
824,n02279972,a photo of a monarch milkweed butterfly.,monarch milkweed butterfly,1,323
825,n01622779,a photo of a great grey owl.,great grey owl,1,24
826,n02895154,a photo of a breastplate.,breastplate,1,461
827,n02165105,a photo of a tiger beetle.,tiger beetle,1,300
828,n02168699,a photo of a long-horned beetle.,long-horned beetle,1,303
829,n04136333,a photo of a sarong skirt.,sarong skirt,1,775
830,n02504458,a photo of a African bush elephant.,African bush elephant,1,386
831,n04590129,a photo of a window shade.,window shade,1,905
832,n01818515,a photo of a macaw bird.,macaw bird,1,88
833,n02062744,a photo of a whale.,whale,0,99999
834,n01753488,a photo of a Saharan horned viper.,Saharan horned viper,1,66
835,n02917067,a photo of a bullet train.,bullet train,1,466
836,n04099969,a photo of a rocking chair.,rocking chair,1,765
837,n01687665,a photo of a agamid lizard.,agamid lizard,0,99999
838,n02807133,a photo of a swimming cap.,swimming cap,1,433
839,n02504013,a photo of a Indian elephant.,Indian elephant,1,385
840,n04209133,a photo of a shower cap.,shower cap,1,793
841,n02536864,a photo of a coho silver salmon fish.,coho silver salmon fish,1,391
842,n04591157,a photo of a Windsor tie.,Windsor tie,1,906
843,n03485407,a photo of a hand-held computer.,hand-held computer,1,590
844,n02167151,a photo of a ground beetle.,ground beetle,1,302
845,n02422699,a photo of a impala (antelope).,impala (antelope),1,352
846,n04371430,a photo of a swimming trunks or bathing trunks.,swimming trunks or bathing trunks,1,842
847,n03788365,a photo of a mosquito net.,mosquito net,1,669
848,n02981792,a photo of a catamaran boat.,catamaran boat,1,484
849,n02074367,a photo of a dugong.,dugong,1,149
850,n03404251,a photo of a fur coat.,fur coat,1,568
851,n01692333,a photo of a Gila monster lizard.,Gila monster lizard,1,45
852,n03018349,a photo of a china cabinet.,china cabinet,1,495
853,n03617480,a photo of a kimono robe.,kimono robe,1,614
854,n04065272,a photo of a recreational vehicle or RV vehicle.,recreational vehicle or RV vehicle,1,757
855,n03787032,a photo of a graduation cap or mortarboard.,graduation cap or mortarboard,1,667
856,n02356798,a photo of a eastern fox squirrel.,eastern fox squirrel,1,335
857,n01484850,a photo of a great white shark fish.,great white shark fish,1,2
858,n01693334,a photo of a green alligator lizard.,green alligator lizard,1,46
859,n02958343,a photo of a car or automobile.,car or automobile,0,99999
860,n01820546,a photo of a lorikeet bird.,lorikeet bird,1,90
861,n01608432,a photo of a kite bird.,kite bird,1,21
862,n01630670,a photo of a smooth newt.,smooth newt,1,26
863,n01629819,a photo of a fire salamander.,fire salamander,1,25
864,n01883070,a photo of a wombat.,wombat,1,106
865,n01748264,a photo of a Indian cobra snake.,Indian cobra snake,1,63
866,n03534580,a photo of a hoopskirt.,hoopskirt,1,601
867,n02916936,a photo of a bulletproof vest.,bulletproof vest,1,465
868,n03045698,a photo of a cloak.,cloak,1,501
869,n01580077,a photo of a jay bird.,jay bird,1,17
870,n02791124,a photo of a barber chair.,barber chair,1,423
871,n03887697,a photo of a paper towel.,paper towel,1,700
872,n01860187,a photo of a black swan.,black swan,1,100
873,n02361337,a photo of a marmot squirell.,marmot squirell,1,336
874,n01689811,a photo of a alligator lizard.,alligator lizard,1,44
875,n01981276,a photo of a Alaskan red king crab.,Alaskan red king crab,1,121
876,n04201297,a photo of a shoji screen or room divider.,shoji screen or room divider,1,789
877,n01984695,a photo of a spiny rock lobster or crawfish.,spiny rock lobster or crawfish,1,123
878,n01644373,a photo of a tree frog.,tree frog,1,31
879,n02363005,a photo of a beaver.,beaver,1,337
880,n02667093,a photo of a abaya robe.,abaya robe,1,399
881,n01817953,a photo of a African grey parrot bird.,African grey parrot bird,1,87
882,n02865351,a photo of a bolo tie.,bolo tie,1,451
883,n03770439,a photo of a miniskirt.,miniskirt,1,655
884,n02814533,a photo of a beach wagon or station wagon.,beach wagon or station wagon,1,436
885,n02280649,a photo of a small white cabbage butterfly.,small white cabbage butterfly,1,324
886,n03642806,a photo of a laptop computer.,laptop computer,1,620
887,n01685439,a photo of a teiid lizard.,teiid lizard,0,99999
888,n02115335,a photo of a wild dog.,wild dog,0,99999
889,n01753959,a photo of a pit viper snake.,pit viper snake,0,99999
890,n02090622,a photo of a borzoi Russian hunting Wolfhound dog.,borzoi Russian hunting Wolfhound dog,1,169
891,n02492660,a photo of a howler monkey.,howler monkey,1,379
892,n02104882,a photo of a Belgian sheepdog or Belgian shepherd.,Belgian sheepdog or Belgian shepherd,0,99999
893,n04310018,a photo of a steam locomotive.,steam locomotive,1,820
894,n04204347,a photo of a shopping cart.,shopping cart,1,791
895,n02095412,a photo of a wire-haired Terrier.,wire-haired Terrier,0,99999
896,n02097298,a photo of a Scottish Terrier.,Scottish Terrier,1,199
897,n02106662,a photo of a German shepherd dog or alsatian.,German shepherd dog or alsatian,1,235
898,n02088094,a photo of a Afghan hound dog.,Afghan hound dog,1,160
899,n02090721,a photo of a Irish wolfhound dog.,Irish wolfhound dog,1,170
900,n02493793,a photo of a Geoffroy's spider monkey.,Geoffroy's spider monkey,1,381
901,n02110806,a photo of a Basenji hunting dog.,Basenji hunting dog,1,253
902,n02098105,a photo of a soft-coated wheaten Terrier.,soft-coated wheaten Terrier,1,202
903,n02116738,a photo of a African hunting dog.,African hunting dog,1,275
904,n02488702,a photo of a black-and-white colobus monkey.,black-and-white colobus monkey,1,375
905,n02089973,a photo of a English foxhound dog.,English foxhound dog,1,167
906,n02091635,a photo of a otterhound dog.,otterhound dog,1,175
907,n04467665,a photo of a trailer truck.,trailer truck,1,867
908,n02101388,a photo of a Brittany spaniel.,Brittany spaniel,1,215
909,n02119022,a photo of a red fox.,red fox,1,277
910,n02497673,a photo of a Madagascar ring-tailed lemur.,Madagascar ring-tailed lemur,1,383
911,n01688243,a photo of a frilled-necked lizard.,frilled-necked lizard,1,43
912,n02480495,a photo of a orangutan.,orangutan,1,365
913,n02112826,a photo of a Welsh corgi.,Welsh corgi,0,99999
914,n02110341,a photo of a dalmatian or coach dog.,dalmatian or coach dog,1,251
915,n02095314,a photo of a wire-haired fox Terrier.,wire-haired fox Terrier,1,188
916,n03796401,a photo of a moving van.,moving van,1,675
917,n01687978,a photo of a agama lizard.,agama lizard,1,42
918,n02097474,a photo of a Tibetan Terrier.,Tibetan Terrier,1,200
919,n02109047,a photo of a Great Dane dog.,Great Dane dog,1,246
920,n03777568,a photo of a Ford Model T car.,Ford Model T car,1,661
921,n02107574,a photo of a Greater Swiss Mountain dog.,Greater Swiss Mountain dog,1,238
922,n02096051,a photo of a Airedale Terrier.,Airedale Terrier,1,191
923,n03930630,a photo of a pickup truck.,pickup truck,1,717
924,n02008041,a photo of a heron.,heron,0,99999
925,n01882714,a photo of a koala bear.,koala bear,1,105
