n00001740	entity
n04264628	keyboard space bar
n04258138	solar thermal collector
n04254120	soap dispenser
n04243546	slot machine
n04238763	slide rule 
n04235860	sleeping bag
n04204238	shopping basket 
n04192698	shield  
n04125021	safe  
dummy700	box
n04049303	rain water barrel  
n04040759	radiator or heating device
n04019541	hockey puck 
n03992509	potter's wheel 
n03991062	plant pot 
dummy190	wheel
dummy187	mechanical device
n03954731	block plane
n03950228	drink pitcher
n03944341	pinwheel 
n03937543	pill bottle
n03935335	piggy bank  
n03933933	pier 
dummy773	support structure
n03929660	plectrum
n03908618	case 
n03888257	parachute   
n03874293	paddle wheel
n03873416	paddle or oar
n03871628	packaging
n03868863	oxygen mask
n03843555	oil filter 
n03825788	baby pacifier 
n02954938	cap
n03803284	muzzle 
n03794056	mouse trap
n03792972	tent
n04191595	shelter
n03786901	mortar and pestle  
n03764736	milk can
n03733131	maypole 
n03717622	manhole cover  
n03710193	mailbox
n03658185	letter opener  
n03627232	rope knot 
n03598930	jigsaw puzzle  
n03590841	carved pumpkin
n03530642	honeycomb
n03532672	hook
n03498962	hatchet  
n03496892	combine harvester
n03492542	hard disk drive  
n03482405	hamper basket
n03467068	guillotine
n03459775	radiator grille  
n03425413	gas pump 
n03355925	flagpole 
n03291819	envelope
n03250847	drumstick
n03208938	disc brake
n03127925	crate 
n03126707	construction crane
n03065424	spiral or coil
n02978881	cassette
n02971356	cardboard box or carton
n02974003	car wheel
n02977058	ATM machine
n02965783	car mirror  
n02966193	carousel
n02948072	candle
n02909870	bucket
n02910353	buckle
n02877765	metal bottle cap
n02840245	ring binder 
n02815834	beaker 
n02808440	bathtub 
n02795169	barrel
n02747177	trash can
n02699494	altar
n01871265	tusker
n02906734	broom 
n02999410	chain 
n03729826	matchstick
n03920288	petri dish
n03976657	pole 
n04162706	seat belt  
n04332243	strainer
n04423845	sewing thimble
n04525038	velvet fabric
n09409512	ridge
