n00001740	entity
n02095050	fox Terrier
n02095314	wire-haired fox Terrier
n02093056	bull Terrier
n02093256	Staffordshire bull Terrier
n02093428	American Staffordshire pit bull Terrier, Staffordshire Terrier, American pit bull Terrier, pit bull Terrier
n02096756	schnauzer
n02097047	miniature schnauzer
n02097130	giant schnauzer
n02097209	standard schnauzer
n02099267	flat-coated retriever
n02099429	curly-coated retriever
n02099601	golden retriever
n02099712	Labrador retriever
n02099849	Chesapeake Bay retriever
n02100236	German short-haired pointer
n02100583	Hungarian vizsla pointer
n02101388	Brittany spaniel
n02101556	Clumber spaniel
n02102318	English cocker spaniel, cocker
n02102480	Sussex spaniel
n02101861	springer spaniel, springer
n02102040	English springer, English springer spaniel
n02102177	Welsh springer spaniel
n02102605	water spaniel
n02102973	Irish water spaniel
n02100735	English setter
n02100877	Irish red setter, red setter
n02101006	Gordon setter
n02104029	Hungarian kuvasz dog
n02104365	Schipperke dog
n02107142	Doberman, Doberman pinscher
n02107312	Miniature pinscher dog
n02110627	Affenpinscher monkey dog
n02088094	Afghan hound, Afghan
n02088238	Basset hound
n02088364	beagle
n02088466	bloodhound, sleuthhound
n02088632	bluetick Coonhound
n02090379	redbone Coonhound
n02091244	Ibizan hound, Ibizan Podenco
n02091467	Norwegian elkhound, elkhound
n02091635	otterhound, otter hound
n02091831	Saluki or gazelle hound
n02092002	Scottish deerhound, deerhound
n02092339	Weimaraner hound
n02091032	Italian greyhound
n02091134	whippet
n02090622	borzoi Russian hunting Wolfhound
n02090721	Irish wolfhound
n02089867	Treeing Walker Coonhound or Walker foxhound
n02089973	English foxhound
n02089078	black-and-tan Coonhound
n02115335	wild dog
n02115641	dingo dog, warrigal, warragal, Canis dingo
n02115913	dhole dog, Cuon alpinus
n02116738	African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus
n01874434	marsupial or pouched mammal
n01883070	wombat
n01881171	phalanger or opossum or possum
n01882714	koala bear, kangaroo bear, native bear, Phascolarctos cinereus
n01877134	kangaroo
n01877812	wallaby, brush kangaroo
n01503061	bird
n01604330	bird of prey, raptor, raptorial bird
n01616318	vulture
n01613294	eagle, bird of Jove
n01614925	bald eagle, American eagle, Haliaeetus leucocephalus
n01622779	great grey owl, great gray owl, Strix nebulosa
n01608432	kite bird
n01843065	jacamar
n01843383	toucan
n01518878	ostrich, Struthio camelus
n01828970	bee eater
n01829413	hornbill
n01833805	hummingbird
n01823013	cuckoo
n01824575	coucal
n01844917	aquatic bird
n02000954	wading bird
n01860187	black swan, Cygnus atratus
n02021795	sea bird, seabird
n02017213	common European gallinule bird, Porphyrio porphyrio
n02051845	pelican
n02058221	albatross, mollymawk
n01855672	goose
n01845132	water bird
n01846331	duck
n01847000	drake duck
n01855032	red-breasted merganser, Mergus serrator
n02006656	spoonbill bird
n02007558	flamingo
n02012849	crane bird
n02013706	limpkin bird, Aramus pictus
n02018795	bustard bird
n02008041	heron
n02009229	little blue heron, Egretta caerulea
n02011460	bittern bird
n02009912	American great white egret, great white heron, Egretta albus
n02002075	stork
n02002556	white stork, Ciconia ciconia
n02002724	black stork, Ciconia nigra
n02018207	American coot, marsh hen, mud hen, water hen, Fulica americana
n02037110	oystercatcher wading bird, oyster catcher
n02026059	sandpiper wading bird
n02027492	red-backed sandpiper dunlin bird, Erolia alpina
n02028035	common redshank wading bird, Tringa totanus
n02033041	dowitcher wading bird
n02022684	shorebird, shore bird
n02025239	ruddy turnstone bird, Arenaria interpres
n02056570	king penguin, Aptenodytes patagonica
n01601694	American dipper bird
n01592084	chickadee
n01558993	American robin, Turdus migratorius
n01560105	nightingale, Luscinia megarhynchos
n01560419	bulbul
n01530575	brambling, Fringilla montifringilla
n01529672	finch
n01531178	goldfinch, Carduelis carduelis
n01532829	house finch, linnet, Carpodacus mexicanus
n01534433	junco or snowbird
n01537544	indigo bunting bird, indigo finch, indigo bird, Passerina cyanea
n01578575	corvine bird
n01580077	jay
n01582220	magpie
n01789386	gallinaceous bird, gallinacean
n01806567	quail
n01807496	partridge
n01806143	peafowl
n01795088	grouse bird
n01795545	black grouse bird
n01796340	ptarmigan bird
n01797886	ruffed grouse, partridge, Bonasa umbellus
n01798484	prairie grouse chicken, prairie grouse, prairie fowl
n01514668	rooster
n01514859	hen
n01816887	parrot bird
n01817953	African grey parrot, African gray, Psittacus erithacus
n01818515	macaw
n01819313	sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita
n01820546	lorikeet
n01661091	reptile, reptilian
n01696633	crocodilian reptile, crocodilian
n01698434	alligator, gator
n01698640	American alligator, Alligator mississipiensis
n01697178	crocodile
n01697457	African Nile crocodile, Crocodylus niloticus
n01674464	lizard
n01687665	agamid lizard
n01687978	agama lizard
n01688243	frilled-necked lizard, Chlamydosaurus kingi
n01689811	alligator lizard
n01676755	iguanid lizard
n01677366	green iguana, iguana, Iguana iguana
n01682714	Carolina anole chameleon, anole, Anolis carolinensis
n01693783	chameleon, chamaeleon
n01694178	African chameleon, Chamaeleo chamaeleon
n01693334	green alligator lizard, Lacerta viridis
n01692333	Gila monster, Heloderma suspectum
n01674990	gecko
n01675722	banded gecko
n01685439	teiid lizard, teiid
n01685808	desert grassland whiptail lizard.
n01694709	monitor lizard, varan
n01695060	Komodo dragon lizard, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis
n01695681	archosaur, archosaurian, archosaurian reptile
n01699831	dinosaur
n01704323	triceratops
n01661818	diapsid
n01726692	snake, serpent, ophidian
n01751748	sea snake
n01727646	colubrid snake
n01728572	worm snake, Carphophis amoenus
n01728920	ring-necked snake, ring-necked snake, ring snake
n01729322	eastern hog-nosed snake, puff adder, sand viper
n01729977	smooth green grass snake, grass snake
n01734418	king snake, kingsnake
n01735189	garter snake, grass snake
n01737021	water snake
n01739381	vine snake
n01740131	night snake, Hypsiglena torquata
n01752165	viper
n01753959	pit viper
n01753488	Saharan horned viper, cerastes, sand viper, horned asp, Cerastes cornutus
n01747885	cobra
n01748264	Indian cobra, Naja naja
n01749582	mamba
n01749939	green mamba
n01755581	eastern diamondback rattlesnake, Crotalus adamanteus
n01756291	sidewinder horned rattlesnake, Crotalus cerastes
n01741562	constrictor
n01742172	boa constrictor, Constrictor constrictor
n01743605	python
n01744401	African rock python, rock snake, Python sebae
n01662784	turtle
n01667114	mud turtle
n01667778	terrapin
n01669191	box turtle, box tortoise
n01663401	sea turtle, marine turtle
n01664065	loggerhead sea turtle, Caretta caretta
n01665541	leatherback sea turtle, leatherback, leathery turtle, Dermochelys coriacea
n01627424	amphibian
n01639765	frog or toad, toad frog, anuran, batrachian, salientian
n01644373	tree frog, tree-frog
n01644900	tailed frog or bell toad, ribbed toad, tailed toad, Ascaphus trui
n01640846	true frog, ranid
n01641577	American bullfrog, Rana catesbeiana
n01629276	salamander
n01630284	newt, triton
n01630670	smooth newt, Triturus vulgaris
n01631663	eft
n01629819	fire salamander, Salamandra salamandra
n01632458	spotted salamander, Ambystoma maculatum
n01632777	axolotl, mud puppy, Ambystoma mexicanum
n02512053	fish
n01495701	ray fish
n01496331	electric ray, crampfish, numbfish, torpedo
n01498041	stingray
n01482330	shark
n01494475	hammerhead shark
n01484850	great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias
n01491361	tiger shark, Galeocerdo cuvieri
n02526121	eel
n01440764	tench fish, Tinca tinca
n01443537	goldfish, Carassius auratus
n02534734	salmon fish
n02536864	coho silver salmon, Oncorhynchus kisutch
n02640242	sturgeon fish
n02641379	garfish, garpike, billfish, Lepisosteus osseus
n02655020	pufferfish, blowfish, globefish
n02607072	anemone (clown) fish
n02606052	rock beauty fish, Holocanthus tricolor
n02643566	lionfish
n02514041	barracouta (snoek) fish
n00017222	plant life
n11669921	flower
n11939491	daisy
n12041446	orchid, orchidaceous plant
n12056217	lady's slipper orchid, lady-slipper, ladies' slipper, slipper orchid
n12057211	yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum
dummy21	fungus
n12992868	fungus
n12985857	coral fungus
n13040303	stinkhorn fungus, carrion fungus
n13044778	earthstar fungus
dummy20	mushroom
n12998815	agaric mushroom
n13054560	bolete mushroom
n13052670	hen-of-the-woods mushroom, hen of the woods, Polyporus frondosus, Grifola frondosa
n13037406	gyromitra mushroom
n00007846	person, individual, someone, somebody, mortal, soul
n10565667	scuba diver
n09835506	ballplayer, baseball player
n10148035	groom, bridegroom
n15075141	toilet paper
n09229709	bubble
n07860988	dough
n07800740	animal fodder
n07802026	hay
n07565083	menu
n07248320	book jacket or cover
dummy101	games
dummy102	puzzle
n06785654	crossword puzzle
dummy103	book
n06596364	comic book
dummy104	computer
n06359193	web site
dummy105	fabric
n04599235	wool
n04592741	airplane wing
n04579432	whistle
dummy108	basin
n04553703	sink
n04548362	wallet
n04532106	vestment
dummy110	machine
n04525305	vending machine
dummy111	jar
n04522168	vase
dummy112	keyboard
n04505470	typewriter keyboard
n04493381	hot tub
dummy113	farming machine
n04428191	threshing machine
n04399382	teddy bear
dummy125	plaything
n04371774	swing
n04372370	electrical switch
dummy131	cleaning equipment
n04367480	mop
n04355933	sunglasses
n04336792	stretcher
dummy230	source of illumination or lighting
dummy98	heating device
n04286575	spotlight
n04277352	spindle
dummy677	stick
n04275548	spider web
n04264628	keyboard space bar
n04258138	solar thermal collector
n04254120	soap dispenser
n04243546	slot machine
n04238763	slide rule
n04235860	sleeping bag
n04204238	shopping basket 
dummy80	  basket
n04192698	shield 
n04125021	safe 
dummy700	box
n04049303	rain water barrel
n04040759	radiator
n04019541	hockey puck
dummy654	disk
n03992509	potter's wheel
n03991062	plant pot 
dummy190	wheel
dummy187	mechanical device
n03954731	block plane
n03950228	drink pitcher
n03944341	pinwheel
n03937543	pill bottle
n03935335	piggy bank 
dummy119	savings bank
n03933933	pier 
dummy773	support structure
n03929660	plectrum
n03908618	case 
n03888257	parachute
n04077734	rescue equipment
n03874293	paddle wheel
n03873416	paddle
n03871628	product packet / packaging
n03868863	oxygen mask
n03837422	oar 
n03871083	package
n02895606	breathing device
n03843555	oil filter 
n03825788	baby pacifier
n03133748	covering
n02954938	cap
n03803284	muzzle 
n04081844	restraint
n03794056	mouse trap
n03792972	tent
n04191595	shelter
n03786901	mortar and pestle
dummy555	kitchen implement 
n03764736	milk can
n03733131	may pole
n03717622	manhole cover
n03710193	mailbox
n03658185	letter opener
n03154073	cutter
n03627232	knot
n03598930	jigsaw puzzle 
n03323703	fastener
n03590841	carved pumpkin
n03640988	lantern
n03530642	honeycomb
n03532672	hook
n03498962	hatchet
n02764044	axe
n03496892	combine harvester
n03492542	hard disk drive
n03706653	magnetic disk
n03482405	hamper basket
n03467068	guillotine
n03459775	radiator grille
n03454707	grate
n03425413	gas pump
n04021798	pump
n03355925	flagpole
n04296261	staff
n03291819	envelope
n03250847	drumstick
n03208938	disk brake
n02891188	brake system
n03551084	hydraulic brake
n03127925	crate 
n03126707	construction crane
n03065424	spiral or coil
n02978881	cassette
n02971356	cardboard box / carton
n02974003	car wheel
n02977058	automated teller machine or ATM machine
n02965783	car mirror
n03773035	mirror
n02966193	carousel
n02948072	candle
n02909870	bucket
n02910353	buckle
n02877765	bottle cap
n02840245	ring binder 
n02815834	beaker 
n02808440	bathtub 
n02795169	barrel
n02747177	trash can
n02699494	altar
n01871265	tusker animal
n02906734	broom 
n02999410	chain
dummy660	connection
n03729826	matchstick
n03920288	petri dish
n03976657	pole
n04100174	rod
n04162706	seat belt
n04125853	safety belt
n04332243	strainer
n04423845	sewing thimble
n04525038	velvet fabric
n09409512	ridge
n01767661	anthropod
